x	y	z	Event	Energy	Time
0.0000000000e+00 0.0000000000e+00 -3.2000000000e+05 3 1.5266413866e+04 3.0460093763e-02
0.0000000000e+00 0.0000000000e+00 -3.0799842887e+05 3 1.7612502031e+03 3.5029509361e-02
-4.5519455889e-03 2.1694448372e-03 -3.0674827131e+05 3 6.8913585478e+03 3.5505487900e-02
-7.3249455635e-03 -9.8590929455e-03 -2.9896141815e+05 3 1.2097611335e+04 3.8470214714e-02
-1.7544635162e-02 1.7043823439e-02 -2.8524383545e+05 3 1.7669910925e+04 4.3692977705e-02
-6.5393905274e-02 2.0423923911e-01 -2.6321316656e+05 3 5.6518983585e+04 5.2080824038e-02
-2.8689613856e-01 4.4042065162e-01 -2.1204300808e+05 3 1.7737804102e+03 7.1563097243e-02
-3.3636630885e-01 4.4978456807e-01 -2.0928771878e+05 3 2.5627463977e+04 7.2612133078e-02
-6.8026056920e-01 5.6824181652e-01 -1.7798276171e+05 3 8.0419862836e+03 8.4531037482e-02
-9.0970604629e-01 7.3823530838e-01 -1.6536332155e+05 3 6.9898292919e+03 8.9335706172e-02
-1.1227509159e+00 9.1596900572e-01 -1.5391279008e+05 3 2.9309949350e+02 9.3695330278e-02
-1.1385319526e+00 9.2828190887e-01 -1.5309633345e+05 3 1.5957634102e+03 9.4006184349e-02
-1.1556044334e+00 9.4244611463e-01 -1.5206211203e+05 3 9.7364473135e+03 9.4399949237e-02
-1.3584652631e+00 1.1416081061e+00 -1.3869321769e+05 3 5.4456880631e+03 9.9489963080e-02
-1.4472290560e+00 1.2569629297e+00 -1.3294230821e+05 3 2.5630811761e+04 1.0167953924e-01
-1.8589429020e+00 1.8710628082e+00 -1.0466593439e+05 3 1.3102899358e+03 1.1244536292e-01
-1.8950711274e+00 1.9280098751e+00 -1.0244094245e+05 3 3.0181156051e+04 1.1329249691e-01
-2.5332783922e+00 2.9000085822e+00 -6.6043700061e+04 3 8.8787807912e+03 1.2715022912e-01
-2.6964587695e+00 3.1139865435e+00 -5.6023641339e+04 3 5.4394988985e+03 1.3096522517e-01
